Admin0_Name,Admin0_Code,Admin1_Name,Admin1_Code,F_TL,M_TL,T_TL,F_00_04,M_00_04,T_00_04,F_05_09,M_05_09,T_05_09,F_10_14,M_10_14,T_10_14,F_15_19,M_15_19,T_15_19,F_20_24,M_20_24,T_20_24,F_25_29,M_25_29,T_25_29,F_30_34,M_30_34,T_30_34,F_35_39,M_35_39,T_35_39,F_40_44,M_40_44,T_40_44,F_45_49,M_45_49,T_45_49,F_50_54,M_50_54,T_50_54,F_55_59,M_55_59,T_55_59,F_60_64,M_60_64,T_60_64,F_65_69,M_65_69,T_65_69,F_70_74,M_70_74,T_70_74,F_75_79,M_75_79,T_75_79,F_80plus,M_80plus,T_80plus
Afghanistan,AF,Badakhshan,AF17,666004,691032,1357036,119853,124553,244406,103188,110447,213635,87127,95911,183038,74089,79233,153322,63046,58740,121786,50854,46265,97119,35591,35897,71488,28811,29330,58141,26430,24950,51380,22044,20768,42812,16946,16556,33502,13174,13830,27004,9779,12236,22015,6887,9461,16348,4231,6384,10615,1810,3006,4816,2144,3465,5609
Afghanistan,AF,Badghis,AF31,346001,361534,707535,62266,65164,127430,53608,57783,111391,45264,50179,95443,38491,41453,79944,32754,30731,63485,26419,24205,50624,18490,18780,37270,14968,15345,30313,13731,13053,26784,11452,10866,22318,8804,8662,17466,6844,7236,14080,5080,6402,11482,3578,4950,8528,2198,3340,5538,940,1572,2512,1114,1813,2927
Afghanistan,AF,Baghlan,AF09,639251,666993,1306244,115039,120220,235259,99043,106604,205647,83627,92575,176202,71113,76477,147590,60514,56696,117210,48811,44656,93467,34161,34648,68809,27654,28310,55964,25368,24082,49450,21158,20046,41204,16265,15980,32245,12645,13349,25994,9386,11811,21197,6610,9132,15742,4061,6162,10223,1738,2901,4639,2058,3344,5402
Afghanistan,AF,Balkh,AF21,956005,986924,1942929,172041,177886,349927,148119,157739,305858,125065,136980,262045,106350,113160,219510,90499,83891,174390,72997,66075,139072,51088,51267,102355,41357,41889,83246,37938,35633,73571,31642,29661,61303,24325,23645,47970,18911,19752,38663,14037,17476,31513,9886,13512,23398,6073,9118,15191,2599,4292,6891,3078,4948,8026
Afghanistan,AF,Bamyan,AF10,314736,323245,637981,56640,58262,114902,48764,51664,100428,41174,44865,86039,35013,37063,72076,29794,27477,57271,24032,21641,45673,16819,16791,33610,13616,13720,27336,12490,11671,24161,10417,9715,20132,8008,7744,15752,6226,6469,12695,4621,5724,10345,3255,4426,7681,1999,2986,4985,855,1406,2261,1013,1621,2634
Afghanistan,AF,Daykundi,AF24,323781,341169,664950,58267,61493,119760,50165,54529,104694,42357,47352,89709,36019,39118,75137,30650,29000,59650,24723,22841,47564,17303,17723,35026,14007,14481,28488,12849,12318,25167,10717,10254,20971,8238,8174,16412,6405,6828,13233,4754,6041,10795,3348,4671,8019,2057,3152,5209,880,1484,2364,1042,1710,2752
Afghanistan,AF,Farah,AF33,353543,371301,724844,63623,66924,130547,54776,59344,114120,46251,51534,97785,39330,42573,81903,33468,31561,65029,26995,24859,51854,18893,19288,38181,15294,15760,31054,14030,13406,27436,11702,11159,22861,8996,8896,17892,6993,7431,14424,5191,6575,11766,3656,5084,8740,2246,3430,5676,961,1615,2576,1138,1862,3000
Afghanistan,AF,Faryab,AF29,700794,727225,1428019,126114,131077,257191,108578,116231,224809,91679,100935,192614,77959,83383,161342,66340,61816,128156,53510,48688,102198,37450,37777,75227,30316,30867,61183,27810,26256,54066,23195,21856,45051,17831,17423,35254,13862,14554,28416,10290,12877,23167,7247,9957,17204,4452,6719,11171,1905,3163,5068,2256,3646,5902
Afghanistan,AF,Ghazni,AF11,858450,895641,1754091,154485,161433,315918,133005,143149,276154,112303,124310,236613,95498,102694,198192,81264,76132,157396,65548,59964,125512,45875,46525,92400,37136,38015,75151,34067,32337,66404,28413,26918,55331,21843,21458,43301,16981,17925,34906,12605,15860,28465,8877,12262,21139,5453,8274,13727,2333,3895,6228,2764,4490,7254
Afghanistan,AF,Ghor,AF23,481466,502714,984180,86644,90611,177255,74596,80349,154945,62986,69774,132760,53560,57641,111201,45577,42732,88309,36763,33657,70420,25729,26114,51843,20828,21337,42165,19107,18150,37257,15936,15109,31045,12251,12044,24295,9524,10061,19585,7069,8902,15971,4979,6883,11862,3058,4644,7702,1309,2186,3495,1550,2520,4070
Afghanistan,AF,Hilmand,AF30,917077,944810,1861887,165036,170295,335331,142088,151008,293096,119973,131134,251107,102019,108331,210350,86814,80311,167125,70025,63256,133281,49008,49080,98088,39672,40102,79774,36393,34112,70505,30354,28395,58749,23334,22636,45970,18141,18909,37050,13465,16730,30195,9483,12936,22419,5826,8729,14555,2493,4109,6602,2953,4737,7690
Afghanistan,AF,Hirat,AF32,1367414,1388496,2755910,246078,250266,496344,211861,221921,433782,178886,192716,371602,152117,159204,311321,129444,118026,247470,104411,92961,197372,73073,72128,145201,59154,58934,118088,54265,50131,104396,45259,41730,86989,34793,33265,68058,27049,27789,54838,20078,24587,44665,14140,19010,33150,8686,12828,21514,3717,6039,9756,4403,6961,11364
Afghanistan,AF,Jawzjan,AF28,382210,392915,775125,68782,70820,139602,59218,62799,122017,50001,54534,104535,42519,45051,87570,36181,33399,69580,29184,26306,55490,20425,20411,40836,16534,16677,33211,15168,14186,29354,12651,11809,24460,9725,9413,19138,7560,7864,15424,5612,6958,12570,3952,5379,9331,2428,3630,6058,1039,1709,2748,1231,1970,3201
Afghanistan,AF,Kabul,AF01,3293371,3407142,6700513,592670,614112,1206782,510262,544559,1054821,430842,472893,903735,366369,390661,757030,311763,289616,601379,251470,228110,479580,175995,176989,352984,142470,144614,287084,130695,123014,253709,109005,102399,211404,83798,81628,165426,65146,68189,133335,48356,60332,108688,34055,46648,80703,20920,31477,52397,8952,14819,23771,10603,17082,27685
Afghanistan,AF,Kandahar,AF27,883772,918074,1801846,159042,165476,324518,136928,146734,283662,115616,127423,243039,98315,105266,203581,83661,78039,161700,67482,61465,128947,47228,47691,94919,38232,38967,77199,35072,33147,68219,29251,27592,56843,22487,21995,44482,17482,18374,35856,12976,16257,29233,9139,12570,21709,5614,8482,14096,2402,3993,6395,2845,4603,7448
Afghanistan,AF,Kapisa,AF02,311351,317289,628640,56030,57189,113219,48239,50712,98951,40731,44038,84769,34636,36380,71016,29474,26970,56444,23774,21243,45017,16638,16482,33120,13469,13467,26936,12356,11456,23812,10305,9536,19841,7922,7602,15524,6159,6350,12509,4572,5618,10190,3220,4344,7564,1978,2931,4909,846,1380,2226,1002,1591,2593
Afghanistan,AF,Khost,AF14,399941,419519,819460,71973,75615,147588,61965,67051,129016,52321,58227,110548,44491,48102,92593,37860,35660,73520,30538,28087,58625,21373,21792,43165,17301,17806,35107,15871,15147,31018,13237,12608,25845,10176,10051,20227,7911,8396,16307,5872,7429,13301,4136,5744,9880,2541,3876,6417,1087,1825,2912,1288,2103,3391
Afghanistan,AF,Kunar,AF15,313939,328979,642918,56496,59296,115792,48640,52581,101221,41070,45661,86731,34924,37721,72645,29719,27964,57683,23971,22025,45996,16777,17089,33866,13581,13963,27544,12458,11878,24336,10391,9887,20278,7988,7882,15870,6210,6584,12794,4610,5825,10435,3246,4504,7750,1994,3039,5033,853,1431,2284,1011,1649,2660
Afghanistan,AF,Kunduz,AF19,722056,741310,1463366,129940,133616,263556,111872,118483,230355,94460,102890,197350,80325,84998,165323,68352,63013,131365,55134,49631,104765,38586,38509,77095,31236,31464,62700,28654,26765,55419,23899,22279,46178,18372,17760,36132,14283,14836,29119,10602,13127,23729,7466,10149,17615,4587,6849,11436,1963,3224,5187,2325,3717,6042
Afghanistan,AF,Laghman,AF07,309774,325543,635317,55747,58677,114424,47995,52031,100026,40525,45183,85708,34461,37327,71788,29324,27672,56996,23653,21795,45448,16554,16911,33465,13401,13817,27218,12293,11754,24047,10253,9784,20037,7882,7799,15681,6128,6515,12643,4548,5765,10313,3203,4457,7660,1968,3008,4976,842,1416,2258,997,1632,2629
Afghanistan,AF,Logar,AF05,274803,284415,559218,49453,51264,100717,42577,45457,88034,35950,39475,75425,30570,32611,63181,26014,24176,50190,20983,19042,40025,14685,14774,29459,11888,12072,23960,10905,10269,21174,9095,8548,17643,6992,6814,13806,5436,5692,11128,4035,5036,9071,2842,3894,6736,1746,2628,4374,747,1237,1984,885,1426,2311
Afghanistan,AF,Maidan Wardak,AF04,416152,433870,850022,74890,78202,153092,64477,69345,133822,54441,60219,114660,46294,49747,96041,39394,36880,76274,31776,29048,60824,22239,22538,44777,18003,18415,36418,16515,15665,32180,13774,13040,26814,10589,10395,20984,8232,8683,16915,6110,7683,13793,4303,5940,10243,2644,4008,6652,1131,1887,3018,1340,2175,3515
Afghanistan,AF,Nangarhar,AF06,1072525,1118245,2190770,193010,201555,394565,166173,178728,344901,140309,155206,295515,119312,128218,247530,101529,95054,196583,81894,74867,156761,57315,58089,115404,46397,47463,93860,42562,40374,82936,35499,33608,69107,27290,26791,54081,21216,22380,43596,15748,19801,35549,11090,15310,26400,6813,10331,17144,2915,4864,7779,3453,5606,9059
Afghanistan,AF,Nimroz,AF34,115815,120494,236309,20842,21718,42560,17944,19259,37203,15151,16724,31875,12884,13816,26700,10963,10242,21205,8843,8067,16910,6189,6259,12448,5010,5114,10124,4596,4350,8946,3833,3621,7454,2947,2887,5834,2291,2412,4703,1700,2134,3834,1198,1650,2848,736,1113,1849,315,524,839,373,604,977
Afghanistan,AF,Nuristan,AF16,103286,107609,210895,18587,19396,37983,16003,17199,33202,13512,14936,28448,11490,12338,23828,9777,9147,18924,7886,7205,15091,5519,5590,11109,4468,4567,9035,4099,3885,7984,3419,3234,6653,2628,2578,5206,2043,2154,4197,1517,1905,3422,1068,1473,2541,656,994,1650,281,468,749,333,540,873
Afghanistan,AF,Paktika,AF12,488568,509812,998380,87922,91890,179812,75697,81483,157180,63915,70759,134674,54350,58455,112805,46250,43335,89585,37305,34132,71437,26109,26483,52592,21135,21639,42774,19388,18407,37795,16171,15322,31493,12431,12214,24645,9664,10203,19867,7174,9027,16201,5052,6980,12032,3104,4710,7814,1328,2217,3545,1573,2556,4129
Afghanistan,AF,Paktya,AF13,385329,402501,787830,69343,72548,141891,59701,64331,124032,50409,55865,106274,42866,46150,89016,36477,34214,70691,29422,26948,56370,20592,20908,41500,16669,17084,33753,15291,14532,29823,12754,12097,24851,9804,9643,19447,7622,8055,15677,5658,7127,12785,3985,5511,9496,2448,3719,6167,1047,1751,2798,1241,2018,3259
Afghanistan,AF,Panjsher,AF08,106874,111889,218763,19233,20167,39400,16559,17883,34442,13982,15529,29511,11889,12829,24718,10117,9511,19628,8161,7491,15652,5711,5812,11523,4623,4749,9372,4241,4040,8281,3537,3363,6900,2719,2681,5400,2114,2239,4353,1569,1981,3550,1105,1532,2637,679,1034,1713,291,487,778,344,561,905
Afghanistan,AF,Parwan,AF03,470066,479654,949720,84592,86454,171046,72830,76662,149492,61495,66573,128068,52292,54997,107289,44498,40772,85270,35893,32113,68006,25120,24916,50036,20335,20359,40694,18654,17318,35972,15558,14416,29974,11961,11492,23453,9298,9600,18898,6902,8493,15395,4861,6567,11428,2986,4431,7417,1278,2086,3364,1513,2405,3918
Afghanistan,AF,Samangan,AF20,270869,283343,554212,48745,51071,99816,41967,45286,87253,35435,39326,74761,30133,32488,62621,25642,24085,49727,20683,18970,39653,14475,14719,29194,11718,12026,23744,10749,10230,20979,8965,8516,17481,6892,6788,13680,5358,5671,11029,3977,5017,8994,2801,3879,6680,1721,2618,4339,736,1232,1968,872,1421,2293
Afghanistan,AF,Sar-e-Pul,AF22,390681,408804,799485,70306,73684,143990,60530,65338,125868,51109,56740,107849,43461,46873,90334,36983,34749,71732,29831,27370,57201,20878,21236,42114,16901,17351,34252,15504,14760,30264,12931,12286,25217,9941,9794,19735,7728,8182,15910,5736,7239,12975,4040,5597,9637,2482,3777,6259,1062,1778,2840,1258,2050,3308
Afghanistan,AF,Takhar,AF18,691203,716049,1407252,124388,129063,253451,107092,114445,221537,90424,99384,189808,76892,82102,158994,65432,60866,126298,52778,47940,100718,36937,37196,74133,29901,30392,60293,27430,25853,53283,22878,21520,44398,17587,17155,34742,13673,14331,28004,10149,12679,22828,7147,9804,16951,4391,6615,11006,1879,3114,4993,2225,3590,5815
Afghanistan,AF,Uruzgan,AF25,274229,287181,561410,49350,51762,101112,42488,45900,88388,35875,39859,75734,30506,32928,63434,25959,24411,50370,20939,19227,40166,14655,14918,29573,11863,12189,24052,10883,10369,21252,9077,8631,17708,6978,6880,13858,5424,5748,11172,4026,5085,9111,2836,3932,6768,1742,2653,4395,745,1249,1994,883,1440,2323
Afghanistan,AF,Zabul,AF26,242876,251936,494812,43708,45410,89118,37630,40267,77897,31773,34967,66740,27019,28887,55906,22992,21415,44407,18545,16867,35412,12979,13087,26066,10507,10693,21200,9638,9096,18734,8039,7572,15611,6180,6036,12216,4804,5042,9846,3566,4461,8027,2511,3449,5960,1543,2328,3871,660,1096,1756,782,1263,2045